prompt_id,category,stress_type,prompt,negative_prompt,seed,split
hard_text_heavy_011,text-heavy,microtext_reflection,"close documentary photograph of a curved soda can label at a steep three-quarter angle, tiny printed text reading ""Batch 17 | Gloves Required"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310011,hard
hard_text_heavy_012,text-heavy,curved_surface_ocr,"focused near-field shot of a glossy restaurant receipt pinned to cork with mixed daylight and tungsten light, tiny printed text reading ""Gate D4 | Fragile Glass"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310012,hard
hard_text_heavy_013,text-heavy,stacked_small_caps,"tight macro capture of a foil medicine blister card with shallow depth of field behind it, tiny printed text reading ""Specimen 08 | Return After Check"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310013,hard
hard_text_heavy_014,text-heavy,angled_label_copy,"angled product close-up of a small instruction label on a camera body under reflective overhead light, tiny printed text reading ""Archive Room C7 | Final Call 18:20"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310014,hard
hard_text_heavy_015,text-heavy,receipt_line_density,"extreme-detail crop of a translucent luggage tag with subtle surface wrinkles, tiny printed text reading ""Lot 24A | Review Before Use"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310015,hard
hard_text_heavy_016,text-heavy,microtext_reflection,"close documentary photograph of an embroidered event badge at a steep three-quarter angle, tiny printed text reading ""Gate D4 | Gloves Required"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310016,hard
hard_text_heavy_017,text-heavy,curved_surface_ocr,"focused near-field shot of a curved soda can label with mixed daylight and tungsten light, tiny printed text reading ""Specimen 08 | Fragile Glass"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310017,hard
hard_text_heavy_018,text-heavy,stacked_small_caps,"tight macro capture of a glossy restaurant receipt pinned to cork with shallow depth of field behind it, tiny printed text reading ""Camera Bay 3 | Return After Check"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310018,hard
hard_text_heavy_019,text-heavy,angled_label_copy,"angled product close-up of a foil medicine blister card under reflective overhead light, tiny printed text reading ""Lot 24A | Final Call 18:20"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310019,hard
hard_text_heavy_020,text-heavy,receipt_line_density,"extreme-detail crop of a small instruction label on a camera body with subtle surface wrinkles, tiny printed text reading ""Batch 17 | Review Before Use"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310020,hard
hard_text_heavy_021,text-heavy,microtext_reflection,"close documentary photograph of a translucent luggage tag at a steep three-quarter angle, tiny printed text reading ""Specimen 08 | Gloves Required"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310021,hard
hard_text_heavy_022,text-heavy,curved_surface_ocr,"focused near-field shot of an embroidered event badge with mixed daylight and tungsten light, tiny printed text reading ""Camera Bay 3 | Fragile Glass"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310022,hard
hard_text_heavy_023,text-heavy,stacked_small_caps,"tight macro capture of a curved soda can label with shallow depth of field behind it, tiny printed text reading ""Archive Room C7 | Return After Check"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310023,hard
hard_text_heavy_024,text-heavy,angled_label_copy,"angled product close-up of a glossy restaurant receipt pinned to cork under reflective overhead light, tiny printed text reading ""Batch 17 | Final Call 18:20"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310024,hard
hard_text_heavy_025,text-heavy,receipt_line_density,"extreme-detail crop of a foil medicine blister card with subtle surface wrinkles, tiny printed text reading ""Gate D4 | Review Before Use"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310025,hard
hard_text_heavy_026,text-heavy,microtext_reflection,"close documentary photograph of a small instruction label on a camera body at a steep three-quarter angle, tiny printed text reading ""Camera Bay 3 | Gloves Required"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310026,hard
hard_text_heavy_027,text-heavy,curved_surface_ocr,"focused near-field shot of a translucent luggage tag with mixed daylight and tungsten light, tiny printed text reading ""Archive Room C7 | Fragile Glass"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310027,hard
hard_text_heavy_028,text-heavy,stacked_small_caps,"tight macro capture of an embroidered event badge with shallow depth of field behind it, tiny printed text reading ""Lot 24A | Return After Check"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310028,hard
hard_text_heavy_029,text-heavy,angled_label_copy,"angled product close-up of a curved soda can label under reflective overhead light, tiny printed text reading ""Gate D4 | Final Call 18:20"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310029,hard
hard_text_heavy_030,text-heavy,receipt_line_density,"extreme-detail crop of a glossy restaurant receipt pinned to cork with subtle surface wrinkles, tiny printed text reading ""Specimen 08 | Review Before Use"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310030,hard
hard_thin_boundary_001,thin-boundary,subpixel_outline,"angled tabletop macro of a rain-soaked spider web with strong backlight, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311001,hard
hard_thin_boundary_002,thin-boundary,translucent_overlap,"extreme-detail macro of a rain-soaked spider web with misty contrast reversal, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311002,hard
hard_thin_boundary_003,thin-boundary,mesh_occlusion,"close field capture of a rain-soaked spider web with shallow depth transitions, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311003,hard
hard_thin_boundary_004,thin-boundary,specular_edge,"near-profile crop of a rain-soaked spider web with overlapping transparent surfaces, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311004,hard
hard_thin_boundary_005,thin-boundary,filigree_density,"tight silhouette study of a backlit fern frond with layered reflections, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311005,hard
hard_thin_boundary_006,thin-boundary,subpixel_outline,"angled tabletop macro of a backlit fern frond with misty contrast reversal, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311006,hard
hard_thin_boundary_007,thin-boundary,translucent_overlap,"extreme-detail macro of a backlit fern frond with overlapping transparent surfaces, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311007,hard
hard_thin_boundary_008,thin-boundary,mesh_occlusion,"close field capture of a thin copper wire sculpture with strong backlight, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311008,hard
hard_thin_boundary_009,thin-boundary,specular_edge,"near-profile crop of a thin copper wire sculpture with layered reflections, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311009,hard
hard_thin_boundary_010,thin-boundary,filigree_density,"tight silhouette study of a thin copper wire sculpture with shallow depth transitions, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311010,hard
hard_thin_boundary_011,thin-boundary,subpixel_outline,"angled tabletop macro of a thin copper wire sculpture with overlapping transparent surfaces, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311011,hard
hard_thin_boundary_012,thin-boundary,translucent_overlap,"extreme-detail macro of cracked soap bubbles with layered reflections, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311012,hard
hard_thin_boundary_013,thin-boundary,mesh_occlusion,"close field capture of cracked soap bubbles with misty contrast reversal, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311013,hard
hard_thin_boundary_014,thin-boundary,specular_edge,"near-profile crop of cracked soap bubbles with shallow depth transitions, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311014,hard
hard_thin_boundary_015,thin-boundary,filigree_density,"tight silhouette study of a silver chain against mirrors with strong backlight, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311015,hard
hard_thin_boundary_016,thin-boundary,subpixel_outline,"angled tabletop macro of a silver chain against mirrors with layered reflections, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311016,hard
hard_thin_boundary_017,thin-boundary,translucent_overlap,"extreme-detail macro of a silver chain against mirrors with shallow depth transitions, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311017,hard
hard_thin_boundary_018,thin-boundary,mesh_occlusion,"close field capture of a silver chain against mirrors with overlapping transparent surfaces, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311018,hard
hard_thin_boundary_019,thin-boundary,specular_edge,"near-profile crop of frost patterns on window glass with strong backlight, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311019,hard
hard_thin_boundary_020,thin-boundary,filigree_density,"tight silhouette study of frost patterns on window glass with misty contrast reversal, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311020,hard
hard_thin_boundary_021,thin-boundary,subpixel_outline,"angled tabletop macro of frost patterns on window glass with shallow depth transitions, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311021,hard
hard_thin_boundary_022,thin-boundary,translucent_overlap,"extreme-detail macro of a rain-soaked spider web with strong backlight, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311022,hard
hard_thin_boundary_023,thin-boundary,mesh_occlusion,"close field capture of a rain-soaked spider web with layered reflections, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311023,hard
hard_thin_boundary_024,thin-boundary,specular_edge,"near-profile crop of a rain-soaked spider web with misty contrast reversal, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311024,hard
hard_thin_boundary_025,thin-boundary,filigree_density,"tight silhouette study of a rain-soaked spider web with overlapping transparent surfaces, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311025,hard
hard_thin_boundary_026,thin-boundary,subpixel_outline,"angled tabletop macro of a backlit fern frond with strong backlight, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311026,hard
hard_thin_boundary_027,thin-boundary,translucent_overlap,"extreme-detail macro of a backlit fern frond with misty contrast reversal, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311027,hard
hard_thin_boundary_028,thin-boundary,mesh_occlusion,"close field capture of a backlit fern frond with shallow depth transitions, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311028,hard
hard_thin_boundary_029,thin-boundary,specular_edge,"near-profile crop of a backlit fern frond with overlapping transparent surfaces, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311029,hard
hard_thin_boundary_030,thin-boundary,filigree_density,"tight silhouette study of a thin copper wire sculpture with layered reflections, extremely thin contours, overlapping fine lines, precise edge continuity, hard-detail boundary stress test.","thick merged edges, broken contours, blob artifacts, oversmoothing, halos, noisy background, low detail",311030,hard
hard_repeated_pattern_001,repeated-pattern,micro_repeat,"extreme-detail crop of moire-prone woven mesh, tiny repeated structures throughout, with mixed reflections, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312001,hard
hard_repeated_pattern_002,repeated-pattern,moire_pattern,"tight industrial close-up of moire-prone woven mesh, tiny repeated structures throughout, with alternating lit and unlit units, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312002,hard
hard_repeated_pattern_003,repeated-pattern,angled_grid,"macro perspective study of moire-prone woven mesh, tiny repeated structures throughout, with shallow depth shifts across the plane, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312003,hard
hard_repeated_pattern_004,repeated-pattern,perforated_array,"compressed oblique view of a dense keyboard matrix with translucent keycaps, tiny repeated structures throughout, at a steep angle, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312004,hard
hard_repeated_pattern_005,repeated-pattern,dense_small_units,"wide pattern-dense frame of a dense keyboard matrix with translucent keycaps, tiny repeated structures throughout, with mixed reflections, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312005,hard
hard_repeated_pattern_006,repeated-pattern,micro_repeat,"extreme-detail crop of a dense keyboard matrix with translucent keycaps, tiny repeated structures throughout, with shallow depth shifts across the plane, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312006,hard
hard_repeated_pattern_007,repeated-pattern,moire_pattern,"tight industrial close-up of a dense keyboard matrix with translucent keycaps, tiny repeated structures throughout, with tiny gaps between repeated elements, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312007,hard
hard_repeated_pattern_008,repeated-pattern,angled_grid,"macro perspective study of a high-rise facade at night with many lit windows, tiny repeated structures throughout, at a steep angle, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312008,hard
hard_repeated_pattern_009,repeated-pattern,perforated_array,"compressed oblique view of a high-rise facade at night with many lit windows, tiny repeated structures throughout, with alternating lit and unlit units, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312009,hard
hard_repeated_pattern_010,repeated-pattern,dense_small_units,"wide pattern-dense frame of a high-rise facade at night with many lit windows, tiny repeated structures throughout, with shallow depth shifts across the plane, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312010,hard
hard_repeated_pattern_011,repeated-pattern,micro_repeat,"extreme-detail crop of a micro-tiled mosaic wall, tiny repeated structures throughout, at a steep angle, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312011,hard
hard_repeated_pattern_012,repeated-pattern,moire_pattern,"tight industrial close-up of a micro-tiled mosaic wall, tiny repeated structures throughout, with mixed reflections, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312012,hard
hard_repeated_pattern_013,repeated-pattern,angled_grid,"macro perspective study of a micro-tiled mosaic wall, tiny repeated structures throughout, with alternating lit and unlit units, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312013,hard
hard_repeated_pattern_014,repeated-pattern,perforated_array,"compressed oblique view of a micro-tiled mosaic wall, tiny repeated structures throughout, with tiny gaps between repeated elements, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312014,hard
hard_repeated_pattern_015,repeated-pattern,dense_small_units,"wide pattern-dense frame of server rack LEDs behind perforated doors, tiny repeated structures throughout, at a steep angle, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312015,hard
hard_repeated_pattern_016,repeated-pattern,micro_repeat,"extreme-detail crop of server rack LEDs behind perforated doors, tiny repeated structures throughout, with alternating lit and unlit units, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312016,hard
hard_repeated_pattern_017,repeated-pattern,moire_pattern,"tight industrial close-up of server rack LEDs behind perforated doors, tiny repeated structures throughout, with shallow depth shifts across the plane, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312017,hard
hard_repeated_pattern_018,repeated-pattern,angled_grid,"macro perspective study of server rack LEDs behind perforated doors, tiny repeated structures throughout, with tiny gaps between repeated elements, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312018,hard
hard_repeated_pattern_019,repeated-pattern,perforated_array,"compressed oblique view of rows of precision drill bits, tiny repeated structures throughout, with mixed reflections, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312019,hard
hard_repeated_pattern_020,repeated-pattern,dense_small_units,"wide pattern-dense frame of rows of precision drill bits, tiny repeated structures throughout, with alternating lit and unlit units, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312020,hard
hard_repeated_pattern_021,repeated-pattern,micro_repeat,"extreme-detail crop of rows of precision drill bits, tiny repeated structures throughout, with tiny gaps between repeated elements, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312021,hard
hard_repeated_pattern_022,repeated-pattern,moire_pattern,"tight industrial close-up of moire-prone woven mesh, tiny repeated structures throughout, at a steep angle, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312022,hard
hard_repeated_pattern_023,repeated-pattern,angled_grid,"macro perspective study of moire-prone woven mesh, tiny repeated structures throughout, with mixed reflections, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312023,hard
hard_repeated_pattern_024,repeated-pattern,perforated_array,"compressed oblique view of moire-prone woven mesh, tiny repeated structures throughout, with shallow depth shifts across the plane, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312024,hard
hard_repeated_pattern_025,repeated-pattern,dense_small_units,"wide pattern-dense frame of moire-prone woven mesh, tiny repeated structures throughout, with tiny gaps between repeated elements, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312025,hard
hard_repeated_pattern_026,repeated-pattern,micro_repeat,"extreme-detail crop of a dense keyboard matrix with translucent keycaps, tiny repeated structures throughout, with mixed reflections, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312026,hard
hard_repeated_pattern_027,repeated-pattern,moire_pattern,"tight industrial close-up of a dense keyboard matrix with translucent keycaps, tiny repeated structures throughout, with alternating lit and unlit units, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312027,hard
hard_repeated_pattern_028,repeated-pattern,angled_grid,"macro perspective study of a dense keyboard matrix with translucent keycaps, tiny repeated structures throughout, with shallow depth shifts across the plane, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312028,hard
hard_repeated_pattern_029,repeated-pattern,perforated_array,"compressed oblique view of a high-rise facade at night with many lit windows, tiny repeated structures throughout, at a steep angle, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312029,hard
hard_repeated_pattern_030,repeated-pattern,dense_small_units,"wide pattern-dense frame of a high-rise facade at night with many lit windows, tiny repeated structures throughout, with mixed reflections, hard-detail repetition stress test with dense small units.","collapsed repetition, warped grid, random missing units, mushy texture, moire artifacts, low detail",312030,hard
hard_faces_001,faces,wet_hair_strands,"tight half-profile crop of a swimmer with wet hair and reflective goggles pushed up, with wet strands crossing the forehead, true-to-life skin texture, fine facial microfeatures preserved, hard-detail face stress test.","distorted anatomy, duplicate features, waxy skin, blurred eyes, smeared hair strands, extra teeth, low detail",313001,hard
hard_faces_002,faces,eyelash_rimlight,"close documentary portrait of a swimmer with wet hair and reflective goggles pushed up, with rim light catching the eyelashes, true-to-life skin texture, fine facial microfeatures preserved, hard-detail face stress test.","distorted anatomy, duplicate features, waxy skin, blurred eyes, smeared hair strands, extra teeth, low detail",313002,hard
hard_faces_003,faces,pores_under_glare,"extreme close portrait of a swimmer with wet hair and reflective goggles pushed up, with several fine flyaway hairs against a dark backdrop, true-to-life skin texture, fine facial microfeatures preserved, hard-detail face stress test.","distorted anatomy, duplicate features, waxy skin, blurred eyes, smeared hair strands, extra teeth, low detail",313003,hard
hard_faces_004,faces,profile_feature_edges,"near-macro face study of a swimmer with wet hair and reflective goggles pushed up, with subtle freckles and lip texture in close view, true-to-life skin texture, fine facial microfeatures preserved, hard-detail face stress test.","distorted anatomy, duplicate features, waxy skin, blurred eyes, smeared hair strands, extra teeth, low detail",313004,hard
hard_faces_005,faces,lip_and_freckle_detail,"focused head-and-shoulders shot of a boxer under ring lights, with wet strands crossing the forehead, true-to-life skin texture, fine facial microfeatures preserved, hard-detail face stress test.","distorted anatomy, duplicate features, waxy skin, blurred eyes, smeared hair strands, extra teeth, low detail",313005,hard
hard_faces_006,faces,wet_hair_strands,"tight half-profile crop of a boxer under ring lights, with visible pores under bright specular light, true-to-life skin texture, fine facial microfeatures preserved, hard-detail face stress test.","distorted anatomy, duplicate features, waxy skin, blurred eyes, smeared hair strands, extra teeth, low detail",313006,hard
hard_faces_007,faces,eyelash_rimlight,"close documentary portrait of a boxer under ring lights, with several fine flyaway hairs against a dark backdrop, true-to-life skin texture, fine facial microfeatures preserved, hard-detail face stress test.","distorted anatomy, duplicate features, waxy skin, blurred eyes, smeared hair strands, extra teeth, low detail",313007,hard
hard_faces_008,faces,pores_under_glare,"extreme close portrait of a violinist backstage after rehearsal, with wet strands crossing the forehead, true-to-life skin texture, fine facial microfeatures preserved, hard-detail face stress test.","distorted anatomy, duplicate features, waxy skin, blurred eyes, smeared hair strands, extra teeth, low detail",313008,hard
